Product,Issue,Company,State,ZIP code,Complaint ID
credit reporting credit repair services personal consumer reports,incorrect information report,the cmi group inc,GA,309XX,3229600
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,transunion intermediate holdings inc,GA,30087,3230494
debt collection,written notification debt,capital accounts llc,DC,20024,3230672
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,FL,32901,3230511
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,experian information solutions inc,CA,94804,3230706
mortgage,trouble payment process,freedom mortgage company,MD,20746,3229838
checking savings account,opening account,santander bank national association,PA,18103,3229708
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,TN,38024,3230377
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,GA,30064,3229906
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,UT,84040,3230593
vehicle loan lease,managing loan lease,automobile acceptance corporation,GA,302XX,3230450
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,AL,365XX,3230524
debt collection,attempts collect debt owed,online information services inc,SC,29209,3229579
debt collection,attempts collect debt owed,experian information solutions inc,NJ,08610,3230779
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,FL,338XX,3229184
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,OH,44146,3230101
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,PA,19082,3230477
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,NY,104XX,3228952
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,NC,28212,3230802
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,LA,70433,3229877
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,AL,365XX,3230234
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,FL,33436,3229402
checking savings account,managing account,suntrust banks inc,FL,33412,3230143
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,experian information solutions inc,NC,270XX,3229818
debt collection,communication tactics,forster  garbus llp,NY,11757,3230845
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,TX,77459,3230165
checking savings account,closing account,valley national bancorp,NJ,07010,3231145
debt collection,written notification debt,erc,MD,20772,3230797
checking savings account,problem caused funds low,us bancorp,CO,80304,3230710
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,TN,38024,3230379
credit reporting credit repair services personal consumer reports,improper use report,experian information solutions inc,IN,460XX,3230225
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,ME,040XX,3230145
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,experian information solutions inc,FL,322XX,3230630
credit reporting credit repair services personal consumer reports,problem customer service,web source market llcdba collection shield 360,FL,339XX,3229980
checking savings account,closing account,td bank us holding company,MD,21244,3231291
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,ME,040XX,3230144
mortgage,trouble payment process,quicken loans inc,CO,800XX,3230292
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,experian information solutions inc,TX,77090,3228973
checking savings account,managing account,jpmorgan chase  co,TX,770XX,3230817
credit card prepaid card,getting credit card,transunion intermediate holdings inc,FL,33023,3228920
debt collection,attempts collect debt owed,the outsource group inc,KY,410XX,3229654
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,NV,89118,3228974
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,AL,365XX,3230372
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,NJ,077XX,3229186
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,FL,33916,3230806
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,TX,751XX,3230340
credit reporting credit repair services personal consumer reports,improper use report,transunion intermediate holdings inc,MO,65721,3230006
mortgage,trouble payment process,flagstar bank fsb,TX,750XX,3230451
credit card prepaid card,fees interest,first data corporation,AZ,85027,3230857
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,NY,11741,3230324
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,CA,95242,3230790
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,UT,84606,3230744
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,transunion intermediate holdings inc,TX,750XX,3230044
debt collection,attempts collect debt owed,portfolio recovery associates inc,TN,380XX,3230805
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,IN,47330,3230813
debt collection,written notification debt,the cmi group inc,FL,33579,3230643
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,experian information solutions inc,TX,77449,3229041
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,FL,336XX,3229413
debt collection,written notification debt,debt recovery solutions llc,MD,20772,3230701
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,transunion intermediate holdings inc,NY,11570,3230355
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,IL,604XX,3230439
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,FL,330XX,3228936
debt collection,written notification debt,southwest credit systems lp,MD,20772,3230674
debt collection,written notification debt,ncc business services inc,MD,20772,3230698
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,FL,331XX,3228431
checking savings account,incorrect information report,fidelity national information services inc fnis,CA,90047,3230582
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,NC,282XX,3229014
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,AL,358XX,3230610
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,TX,77014,3230435
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,LA,70433,3229878
debt collection,attempts collect debt owed,midwest recovery systems,NY,11429,3229054
credit reporting credit repair services personal consumer reports,improper use report,experian information solutions inc,NM,87108,3229598
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,CA,90303,3228942
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,continental finance company llc,IL,60611,3230466
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,NY,11218,3230453
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,experian information solutions inc,IL,60611,3230467
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,experian information solutions inc,NY,11565,3230250
debt collection,attempts collect debt owed,convergent resources inc,OH,43228,3229977
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,IL,604XX,3229974
debt collection,attempts collect debt owed,midwest recovery systems,NY,11429,3229057
debt collection,written notification debt,portfolio recovery associates inc,WA,980XX,3229412
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,NY,11435,3229845
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,FL,330XX,3228939
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,FL,330XX,3229048
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,FL,330XX,3230431
student loan,struggling repay loan,aespheaa,MI,48213,3230773
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,AL,365XX,3230256
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,IL,60621,3229727
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,FL,330XX,3229034
checking savings account,closing account,bmo harris bank national association,WI,548XX,3230274
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,FL,33436,3229403
debt collection,attempts collect debt owed,bth management,IN,471XX,3230224
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,FL,330XX,3230237
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,AL,365XX,3230525
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,NY,115XX,3228985
mortgage,struggling pay mortgage,ocwen loan servicing llc,CA,91709,3229946
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,MS,38703,3230106
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,transunion intermediate holdings inc,NY,10463,3229979
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,FL,330XX,3229577
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,FL,333XX,3229908
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,AL,35405,3230344
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,transunion intermediate holdings inc,TX,75052,3228938
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,CT,06360,3230077
checking savings account,closing account,bank of america national association,GA,30286,3231560
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,experian information solutions inc,CA,94578,3230680
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,NC,278XX,3230449
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,NY,105XX,3230100
student loan,struggling repay loan,navient solutions llc,OK,731XX,3229712
credit reporting credit repair services personal consumer reports,incorrect information report,diversified consultants inc,PA,191XX,3229876
credit reporting credit repair services personal consumer reports,incorrect information report,credit karma inc,CA,919XX,3228947
credit card prepaid card,getting credit card,discover bank,CA,941XX,3230757
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,FL,322XX,3230115
debt collection,false statements representation,experian information solutions inc,FL,338XX,3229892
mortgage,struggling pay mortgage,phh mortgage services corporation,CA,917XX,3230768
checking savings account,problem lender company charging account,us bancorp,MN,551XX,3230709
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,FL,33510,3230647
debt collection,attempts collect debt owed,debt recovery solutions llc,TX,77459,3230098
checking savings account,managing account,flagstar bank fsb,CA,92368,3230448
credit reporting credit repair services personal consumer reports,improper use report,transunion intermediate holdings inc,NJ,075XX,3230037
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,NY,14616,3229118
credit reporting credit repair services personal consumer reports,incorrect information report,onemain financial holdings llc,TN,37086,3230140
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,experian information solutions inc,TX,77065,3229831
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,OK,736XX,3230659
debt collection,attempts collect debt owed,hcfs health care financial services inc,LA,70805,3230461
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,experian information solutions inc,NC,275XX,3230578
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,VA,240XX,3230060
mortgage,trouble payment process,nationstar mortgage,WA,992XX,3230699
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,VA,22102,3230183
debt collection,false statements representation,meridian financial services inc,GA,30066,3230298
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,IN,460XX,3229954
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,transunion intermediate holdings inc,PR,009XX,3230519
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,NY,115XX,3230968
credit reporting credit repair services personal consumer reports,improper use report,experian information solutions inc,IN,460XX,3230066
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,FL,33060,3228596
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,FL,333XX,3229923
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,FL,32514,3230209
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,LA,70726,3230180
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,FL,334XX,3228960
credit reporting credit repair services personal consumer reports,incorrect information report,first advantage corporation,NY,11218,3230423
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,NY,14616,3229115
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,AL,365XX,3230150
credit reporting credit repair services personal consumer reports,incorrect information report,ad astra recovery services inc,LA,70816,3229575
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,LA,704XX,3230015
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,MI,482XX,3229132
debt collection,false statements representation,commonwealth financial systems inc,FL,328XX,3230481
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,NY,104XX,3228951
money transfer virtual currency money service,unauthorized transactions transaction problem,square inc,MS,390XX,3230476
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,NY,11435,3229844
credit reporting credit repair services personal consumer reports,identity theft protection monitoring services,experian information solutions inc,ME,041XX,3229993
credit reporting credit repair services personal consumer reports,improper use report,discover bank,IN,46060,3230373
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,IL,604XX,3229973
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,FL,330XX,3229994
credit card prepaid card,problem purchase shown statement,citibank na,TX,76502,3231281
credit reporting credit repair services personal consumer reports,incorrect information report,tidewater finance company inc,TX,78542,3229040
credit reporting credit repair services personal consumer reports,incorrect information report,southern management corp,TX,770XX,3229024
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,NC,277XX,3230026
debt collection,written notification debt,ability recovery services llc,IL,60621,3229735
checking savings account,managing account,wells fargo  company,DE,19963,3231886
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,quality asset recovery llc,NJ,073XX,3230791
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,MO,63107,3230749
credit reporting credit repair services personal consumer reports,improper use report,transunion intermediate holdings inc,FL,333XX,3230627
credit card prepaid card,closing account,jpmorgan chase  co,NY,10950,3230645
debt collection,false statements representation,transunion intermediate holdings inc,FL,338XX,3229914
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,experian information solutions inc,CA,90066,3230462
credit card prepaid card,problem making payments,synchrony financial,TX,751XX,3230136
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,GA,301XX,3228986
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,UT,840XX,3230226
vehicle loan lease,problems end loan lease,toyota motor credit corporation,CA,94606,3228977
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,FL,334XX,3230637
student loan,dealing lender servicer,navient solutions llc,CT,06482,3230104
debt collection,attempts collect debt owed,fidelity properties inc,OH,441XX,3229731
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,FL,330XX,3229992
checking savings account,managing account,huntington national bank the,FL,333XX,3230172
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,IL,60636,3230178
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,OK,730XX,3228962
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,TX,770XX,3229026
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,FL,33060,3228593
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,FL,330XX,3230238
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,FL,334XX,3230429
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,ocwen loan servicing llc,TX,799XX,3230138
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,experian information solutions inc,GA,300XX,3229842
debt collection,written notification debt,sequium asset solutions llc,TN,381XX,3230024
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,TX,761XX,3230067
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,TX,77630,3228925
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,FL,334XX,3230427
credit reporting credit repair services personal consumer reports,incorrect information report,barclays bank delaware,IL,619XX,3229039
credit card prepaid card,fees interest,synchrony financial,IL,606XX,3229603
mortgage,applying mortgage refinancing existing mortgage,nationstar mortgage,MD,20603,3229592
debt collection,written notification debt,preferred collection management inc,FL,33610,3230822
debt collection,false statements representation,navient solutions llc,IA,503XX,3229033
mortgage,trouble payment process,home point financial corporation,OH,430XX,3229897
credit reporting credit repair services personal consumer reports,improper use report,transunion intermediate holdings inc,MA,01923,3228995
debt collection,attempts collect debt owed,conserve,LA,70433,3229843
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,TX,77630,3228924
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,experian information solutions inc,OH,44108,3230215
checking savings account,managing account,first tennessee bank national association,TN,37363,3230082
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,TX,77327,3230195
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,credit systems international inc,TX,750XX,3230516
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,MI,482XX,3229131
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,FL,339XX,3230196
credit card prepaid card,problem making payments,discover bank,KY,410XX,3229621
debt collection,attempts collect debt owed,hsbc north america holdings inc,CA,917XX,3230854
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,NC,28212,3230804
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,experian information solutions inc,IN,465XX,3230288
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,NY,117XX,3229962
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,TX,76708,3229136
vehicle loan lease,getting loan lease,toyota motor credit corporation,CT,067XX,3229581
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,AL,365XX,3230371
credit reporting credit repair services personal consumer reports,improper use report,experian information solutions inc,TX,76177,3230521
debt collection,attempts collect debt owed,commonwealth financial systems inc,OH,441XX,3229576
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,experian information solutions inc,TX,77407,3229940
debt collection,attempts collect debt owed,transunion intermediate holdings inc,NC,270XX,3230589
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,transunion intermediate holdings inc,IL,606XX,3230198
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,OH,44146,3229867
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,transunion intermediate holdings inc,AZ,85258,3230561
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,VA,223XX,3230092
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,transunion intermediate holdings inc,CA,94804,3230707
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,AL,365XX,3230151
debt collection,threatened contact someone share information improperly,cedars business services llc,VA,20171,3230073
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,transunion intermediate holdings inc,TX,77084,3228959
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,experian information solutions inc,LA,708XX,3229957
credit card prepaid card,problem purchase shown statement,capital one financial corporation,CA,930XX,3229043
credit reporting credit repair services personal consumer reports,improper use report,experian information solutions inc,IN,460XX,3230116
mortgage,applying mortgage refinancing existing mortgage,ocwen loan servicing llc,WA,983XX,3229737
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,credit protection association lp,TX,750XX,3228630
debt collection,false statements representation,rentdebt automated collections llc,LA,70805,3230393
mortgage,struggling pay mortgage,nationstar mortgage,CA,92026,3230489
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,transunion intermediate holdings inc,TX,77072,3229967
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,transunion intermediate holdings inc,NY,11691,3230088
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,NY,11741,3230323
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,PA,19082,3230478
credit reporting credit repair services personal consumer reports,unable get credit report credit score,experian information solutions inc,AL,354XX,3230781
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,MI,483XX,3230662
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,NY,11218,3230454
credit card prepaid card,closing account,synchrony financial,TX,750XX,3228948
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,FL,33916,3230807
payday loan title loan personal loan,problem making payments,credit services corporation llc,TX,752XX,3230428
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,FL,334XX,3228983
student loan,dealing lender servicer,aespheaa,OH,44113,3230218
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,NC,282XX,3229009
payday loan title loan personal loan,struggling pay loan,ace cash express inc,CA,919XX,3230064
debt collection,attempts collect debt owed,first advantage lns inc,AZ,85254,3230777
credit reporting credit repair services personal consumer reports,improper use report,experian information solutions inc,IN,465XX,3229922
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,FL,331XX,3230483
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,VA,22102,3230205
debt collection,threatened contact someone share information improperly,messerli  kramer pa,ND,585XX,3230163
mortgage,applying mortgage refinancing existing mortgage,ally financial inc,CA,945XX,3229595
credit reporting credit repair services personal consumer reports,improper use report,experian information solutions inc,IN,460XX,3229932
mortgage,trouble payment process,wells fargo  company,TX,774XX,3229591
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,AL,358XX,3230608
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,TX,77025,3230040
checking savings account,closing account,navy federal credit union,GA,314XX,3230731
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,FL,32901,3230513
money transfer virtual currency money service,problem customer service,navy federal credit union,WA,98370,3231235
debt collection,written notification debt,second round limited partnership,CT,060XX,3229548
credit card prepaid card,problem purchase shown statement,citibank na,MD,208XX,3230349
student loan,struggling repay loan,navient solutions llc,NV,89147,3228961
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,MO,63107,3230754
debt collection,written notification debt,southwest credit systems lp,MD,20772,3230685
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,AR,727XX,3229912
student loan,incorrect information report,aespheaa,KY,421XX,3229849
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,experian information solutions inc,NY,103XX,3229549
credit reporting credit repair services personal consumer reports,improper use report,experian information solutions inc,IN,460XX,3230022
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,FL,336XX,3229410
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,LA,70726,3230181
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,PA,191XX,3229859
student loan,struggling repay loan,nelnet inc,TX,794XX,3230836
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,transunion intermediate holdings inc,CA,94578,3230677
credit card prepaid card,problem making payments,synchrony financial,IN,46239,3230736
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,SC,29621,3230502
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,TX,770XX,3229031
debt collection,written notification debt,the traf group,DE,197XX,3230002
checking savings account,managing account,goldman sachs bank usa,AR,72932,3230497
debt collection,written notification debt,portfolio recovery associates inc,OH,441XX,3230126
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,AL,365XX,3230233
credit reporting credit repair services personal consumer reports,improper use report,transunion intermediate holdings inc,NM,87108,3229599
mortgage,struggling pay mortgage,nationstar mortgage,IL,604XX,3229182
credit card prepaid card,problem purchase shown statement,american express company,NY,11946,3230245
credit reporting credit repair services personal consumer reports,improper use report,certified credit reporting inc,IL,60016,3228937
money transfer virtual currency money service,managing opening closing mobile wallet account,pnc bank na,PA,19020,3231265
debt collection,attempts collect debt owed,trident asset management llc,PA,191XX,3230320
checking savings account,managing account,bank of america national association,CA,945XX,3230576
student loan,dealing lender servicer,nelnet inc,CA,92130,3230248
debt collection,attempts collect debt owed,financial recovery services inc,FL,330XX,3229414
debt collection,false statements representation,americollect,FL,33610,3230833
debt collection,written notification debt,monterey financial services llc,OH,43607,3229008
checking savings account,problem lender company charging account,navy federal credit union,OH,45215,3231648
debt collection,attempts collect debt owed,commonwealth financial systems inc,LA,704XX,3230564
credit reporting credit repair services personal consumer reports,incorrect information report,early warning services llc,GA,303XX,3230421
mortgage,closing mortgage,navy federal credit union,MD,21215,3230586
debt collection,attempts collect debt owed,ccs financial services inc,MO,636XX,3229013
credit card prepaid card,problem purchase shown statement,barclays bank delaware,MI,483XX,3230135
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,GA,305XX,3230396
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,transunion intermediate holdings inc,CA,90066,3230463
debt collection,attempts collect debt owed,online information services inc,LA,704XX,3230008
mortgage,struggling pay mortgage,nationstar mortgage,CA,92105,3230583
debt collection,attempts collect debt owed,apelles llc,OH,43228,3229998
debt collection,attempts collect debt owed,diversified consultants inc,FL,328XX,3229899
debt collection,attempts collect debt owed,hcfs health care financial services inc,AR,71913,3230716
debt collection,written notification debt,midwest recovery systems,TX,774XX,3230085
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,FL,32514,3230208
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,GA,302XX,3229893
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,UT,840XX,3230200
debt collection,attempts collect debt owed,ccs financial services inc,LA,70433,3230170
mortgage,trouble payment process,freedom mortgage company,PA,152XX,3230762
payday loan title loan personal loan,charged fees interest expect,curo intermediate holdings,VA,23508,3229050
payday loan title loan personal loan,problem payoff process end loan,ace cash express inc,MT,590XX,3229869
mortgage,struggling pay mortgage,bayview loan servicing llc,CA,92064,3228591
credit card prepaid card,other features terms problems,american express company,MD,20772,3230341
debt collection,attempts collect debt owed,gold key credit inc,TX,79095,3230262
payday loan title loan personal loan,problem making payments,harpeth financial services llc,MI,49418,3230219
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,NC,277XX,3230020
debt collection,took threatened take negative legal action,d scott carruthers,CA,920XX,3228987
credit reporting credit repair services personal consumer reports,improper use report,capital one financial corporation,TN,38053,3230155
checking savings account,managing account,bank of america national association,VA,23119,3230684
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,CA,90405,3228945
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,VA,223XX,3230095
debt collection,attempts collect debt owed,cl holdings llc,PR,00698,3229027
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,MI,481XX,3229047
mortgage,struggling pay mortgage,bayview loan servicing llc,IL,60712,3230495
debt collection,threatened contact someone share information improperly,ace cash express inc,CA,900XX,3229573
debt collection,attempts collect debt owed,eastern account systems connecticut inc,FL,34203,3228415
debt collection,threatened contact someone share information improperly,residential home funding corp,NJ,07827,3228435
credit reporting credit repair services personal consumer reports,incorrect information report,consumer financial services,WA,982XX,3229428
mortgage,trouble payment process,freedom mortgage company,WA,982XX,3228884
student loan,dealing lender servicer,citibank na,GA,303XX,3229394
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,IL,606XX,3228230
vehicle loan lease,problems end loan lease,ally financial inc,NJ,087XX,3229725
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,FL,334XX,3229533
credit card prepaid card,problem purchase shown statement,citibank na,CO,805XX,3229303
debt collection,written notification debt,transworld systems inc,FL,33803,3228892
debt collection,false statements representation,grant  weber,AZ,85602,3228522
